STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19311101	0	11	10	5	0	30	0	27	7388	556	1753	3072	2540	-122	17	-83	-43	-63
GHCND:USC00456898	19311201	0	17	17	10	0	31	0	28	7553	508	3454	4849	3200	-122	56	-83	-38	-61
GHCND:USC00456898	19320101	0	26	21	12	2	30	0	16	6571	500	4394	6221	4370	-189	117	-74	2	-36
GHCND:USC00456898	19320201	-9999	15	11	5	-9999	-9999	-9999	-9999	-9999	716	5182	4206	2387	-9999	-9999	-9999	-9999	-9999
GHCND:USC00456898	19320301	0	15	12	7	0	25	0	10	5921	792	5690	4548	2972	-122	94	-34	18	-8
GHCND:USC00456898	19320401	0	10	9	3	0	20	0	0	3513	511	6147	2563	1988	-78	189	0	131	66
GHCND:USC00456898	19320501	0	7	2	0	0	11	0	0	3601	191	5410	557	0	-50	189	9	125	67
GHCND:USC00456898	19320601	0	5	1	1	0	9	0	0	2363	297	3302	614	0	-44	228	36	151	92
GHCND:USC00456898	19320701	0	7	6	1	0	4	0	0	2789	279	1753	1321	-9999	-22	256	36	125	80
GHCND:USC00456898	19320801	26	9	3	0	0	1	0	0	2029	203	-9999	784	-9999	-11	244	77	156	116
GHCND:USC00456898	19320901	0	3	2	1	0	5	0	0	2219	279	-9999	495	0	-22	250	35	172	104
GHCND:USC00456898	19321001	0	18	12	6	0	10	0	1	1809	711	508	4386	1157	-61	222	-32	106	2
GHCND:USC00456898	19321101	0	14	13	8	0	25	0	0	4768	861	1245	5429	1905	-72	128	-24	72	24
GHCND:USC00456898	19321201	0	20	9	2	5	31	0	16	7542	546	2591	3183	2919	-289	100	-105	-16	-60
GHCND:USC00456898	19330101	0	21	12	2	0	29	0	20	6520	264	4267	3049	3149	-144	67	-98	-3	-50
GHCND:USC00456898	19330201	0	14	7	3	2	27	0	21	6831	460	5334	2297	2718	-244	83	-110	-30	-70
GHCND:USC00456898	19330301	0	13	7	0	0	25	0	19	5446	203	5791	1623	2020	-128	67	-77	-10	-44
GHCND:USC00456898	19330401	0	9	2	1	0	25	0	10	5913	302	5588	1067	737	-117	111	-51	23	-14
GHCND:USC00456898	19330501	0	10	3	0	0	31	0	7	6037	168	4978	976	939	-78	89	-42	19	-12
GHCND:USC00456898	19330601	0	5	1	0	0	19	0	1	3970	231	4039	445	330	-106	222	-2	94	46
GHCND:USC00456898	19330701	0	1	0	0	0	2	0	0	992	58	-9999	58	-9999	-11	294	23	219	121
GHCND:USC00456898	19330801	57	2	0	0	0	0	3	0	1091	86	-9999	111	-9999	6	344	29	261	145
GHCND:USC00456898	19330901	0	10	4	1	0	15	0	2	3578	290	356	1285	406	-56	283	1	127	64
GHCND:USC00456898	19331001	0	13	7	3	0	11	0	0	3711	404	305	2213	292	-78	222	22	105	63
GHCND:USC00456898	19331101	0	10	4	3	0	22	0	1	4183	409	254	1760	267	-61	256	-9	96	44
GHCND:USC00456898	19331201	0	18	12	4	0	30	0	11	5463	1046	2134	4543	1270	-94	94	-38	13	-12
GHCND:USC00456898	19340101	0	22	14	6	0	29	0	11	6035	650	3150	4764	2011	-117	122	-51	27	-12
GHCND:USC00456898	19340201	0	10	1	0	0	23	0	2	4860	147	2997	700	520	-78	122	-28	46	9
GHCND:USC00456898	19340301	0	12	7	4	0	23	0	3	4877	599	2921	2906	559	-72	178	-20	72	26
GHCND:USC00456898	19340401	0	9	3	0	0	14	0	2	3837	226	2286	950	432	-111	217	11	99	55
GHCND:USC00456898	19340501	0	8	2	1	0	19	0	1	3783	282	1499	963	255	-56	233	14	108	61
GHCND:USC00456898	19340601	0	6	0	0	0	6	0	0	2873	89	51	333	51	-39	222	32	143	87
GHCND:USC00456898	19340701	41	2	1	0	0	5	0	0	2196	178	-9999	254	-9999	-11	267	48	176	111
GHCND:USC00456898	19340801	100	3	0	0	0	0	0	0	1609	102	-9999	234	0	11	272	84	177	131
GHCND:USC00456898	19340901	12	9	4	2	0	9	0	1	3497	330	102	1215	102	-44	256	29	105	67
GHCND:USC00456898	19341001	6	12	6	6	0	16	0	2	3931	533	610	3016	636	-44	233	16	96	56
GHCND:USC00456898	19341101	0	24	16	6	0	24	0	9	5123	635	1346	4781	2340	-61	161	-19	44	12
GHCND:USC00456898	19341201	0	24	13	3	0	23	0	18	6139	597	2896	3509	2576	-122	122	-41	11	-15
GHCND:USC00456898	19350101	0	21	11	4	3	24	0	20	6858	511	4420	3317	2896	-233	128	-67	-9	-38
GHCND:USC00456898	19350201	0	12	5	1	0	25	0	9	5082	378	3556	1548	1549	-144	144	-46	49	2
GHCND:USC00456898	19350301	0	26	7	4	0	31	0	27	7535	645	5334	3351	2692	-139	61	-91	-29	-60
GHCND:USC00456898	19350401	0	9	3	0	0	27	0	10	5775	170	5207	914	813	-117	106	-47	28	-10
GHCND:USC00456898	19350501	0	5	0	0	0	17	0	1	4348	86	4013	266	164	-61	167	-5	81	38
GHCND:USC00456898	19350601	0	10	1	0	0	17	0	0	3499	211	2692	874	25	-56	206	15	109	62
GHCND:USC00456898	19350701	116	10	0	0	0	8	0	0	2493	104	762	654	38	-17	289	57	149	104
GHCND:USC00456898	19350801	29	5	2	1	0	2	0	0	2378	381	-9999	803	-9999	0	256	60	150	105
GHCND:USC00456898	19350901	23	6	3	1	0	0	0	0	2152	356	0	880	0	6	244	68	152	110
GHCND:USC00456898	19351001	1	11	3	1	0	18	0	5	4366	254	305	1113	686	-167	261	-10	82	38
GHCND:USC00456898	19351101	0	9	7	2	0	24	0	2	4493	411	762	1732	1346	-167	133	-39	60	10
GHCND:USC00456898	19351201	0	12	6	4	0	25	0	2	4968	521	1626	2226	1359	-78	144	-14	59	23
GHCND:USC00456898	19360101	0	20	15	7	0	30	0	13	5975	699	3810	5117	4141	-100	117	-40	20	-10
GHCND:USC00456898	19360201	0	17	12	7	1	29	0	14	6483	584	4877	3930	3455	-178	67	-85	4	-41
GHCND:USC00456898	19360301	0	14	7	2	1	26	0	11	5900	1372	5740	3214	1550	-178	128	-82	11	-36
GHCND:USC00456898	19360401	0	10	1	0	0	18	0	5	4667	216	5690	746	534	-111	178	-16	71	27
